text,post_type,check_post
"['อัพเดท', '01082022', 'แผนที่', 'เดิม', 'ลอง', 'ทำ', 'แผนที่', 'หอพัก', 'มจพกรุงเทพ', 'แนวทาง', 'น้อง', 'หอ', 'พัก', 'น้อง', 'คน', 'หา', 'หอ', 'พัก', 'ติดต่อ', 'หอ', 'พัก', '…', 'โหลด', 'แผนที่', 'ชัดเจน', 'ภาพ', 'แตก', 'ลิงค์']",2,2
"['สอบถาม', 'เกี่ยว', 'หอ', 'มจพ', 'รี', 'วิว', 'ฟัง']",2,2
"['หา', 'ร', 'ถ', 'กระบะ', 'ขน', 'ย้าย', 'หอ', 'ซอย', '11', 'เสาร์', '25']",2,2
"['หา', 'เพื่อน', 'กลุ่มไลน์']",2,2
"['ขาย', 'สัญญา', 'ไหม', 'หา', 'หอ', 'หาหอจริง', 'เมษา', 'มิถุนา', '555555', 'sp', 's', '9', 'salcha', 'mira', 'คอนโดแอสปาย', 'ลุมพินี', 'ขอบคุณ', 'ล่วงหน้า']",2,2
"['เจอ', 'กระเป๋า', 'ตัง', 'สี', 'น้ำเงิน', 'รูป', 'หาย', 'ตึก', '40', 'ชั้น', '3', 'แข่ง', 'วอลเลย์']",2,2
"['ปล่อย', '1500', '฿', 'pencil', 'gen', '1', 'มือ', '2', 'หัว', 'ปากกาแถม', 'กล่อง', 'งาน', 'ปี', 'นึง', 'สภาพ', 'ดี', 'ดู', 'รูป', 'ขาย', 'ไอ', 'แพด', 'นัด', 'หอหลัง', 'มอ']",1,1
"['หา', 'หอพัก', 'งบ', '30003500', 'บวก', 'ลบ', 'ติด', 'สัญญา', 'สอบ', 'final']",2,2
"['คณะ', 'วิชา', 'ไหม', 'เวลา', 'คะแนน', 'สอบ', 'Midterm', 'Final', 'วิชา', 'คะแนน', 'ศึกษา', 'โชว์', 'หน้า', 'จอ', 'ไลน์', 'ชื่อ', 'ศึกษา', 'เพื่อน', 'คณะ', 'ไหม', 'ระบบ', 'คน', 'ผม', 'ตัวอย่าง']",2,2
"['สอบถาม', 'พี่', 'ชื่อ', 'โครงการ', 'กีฬา', 'ประกาศ', 'ตอน', 'หรอ', 'เว็บ', 'ประกาศ', '10', 'กุมภา', '66']",2,2
"['เช่า', 'บ้าน', 'หมู่บ้านสิรีนพาร์ค', '2', 'พื้นที่', 'ใช้สอย', '200', 'ตรม', '4', 'ห้อง', 'นอน', '2', 'ห้องน้ำ', 'บ้าน', 'หน้า', '6', 'เมตร', 'จอด', 'รถ', 'คัน', 'สนใจ', 'โทร', '0813335375']",1,1
"['หาสัญญา', 'หอ', 'U', 'Life', 'Prime']",1,2
"['ขาย', 'โต๊ะดราฟมือ', 'สอง', 'ขนาด', 'A', '0', 'สภาพ', 'งาน', 'ปกติ', 'รอย', 'แตก', 'ตำหนิ', 'เวลา', 'งาน', 'ไฟ', 'ติด', '3', 'ดวง', 'แถม', 'Tslide', '3500', '฿', '3200', '฿', 'ขอบคุณ']",1,1
"['ค้า', 'บบ', 'พี่', 'น้องๆ', 'คน', 'ปริ้น', 'เอกสาร', 'เล่ม', 'รายงาน', 'ใบ', 'งาน', 'บริการ', 'น้า', 'ทัก', 'บ']",2,2
"['หา', 'เพื่อน', 'คั้บ', 'บบ']",2,2
"['หา', 'สัญญา', 'หอ', 'atom', 's', '9', 'ต้']",2,2
"['ขาย', 'เครื่อง', 'ปริ้นEPSON', 'L', '3210ecotank', 'ประหยัด', 'น้ำ', 'หมึก', 'ปริ้น', 'สแกน', 'ถ่าย', 'เอกสาร', 'ประกัน', '1', 'ปี', 'เต็ม', 'ศูนย์', 'ประเทศ', 'หมึก', 'เต็ม', 'สีสด', 'สวย', 'งาน', 'ขาย', '2800', '฿', 'รอง', 'นัด', 'มครับ']",1,1
"['อนุญาต', 'สอบถาม', 'เกี่ยว', 'สาขา', 'In', 'AER', 'เทียบโอน', 'แนะนำ', 'สำหรับ', 'สาขา', 'เรื่อง', 'เรียน', 'แนะนำ', 'ขอบคุณค่า']",2,2
"['หา', 'ร้าน', 'ขาย', 'ไดฟุกุสตอเบอรี่', 'ตอน', 'งาน', 'ดนตรี', 'ลาน', 'สวนปาล์ม', 'อร่อย', 'กกก', 'กิน']",2,2
"['หาคอนโด', 'Aspire', 'ราคา', 'ศึกษา']",2,2
"['ทำ', 'บัตร', 'ศึกษา', 'หาย', 'ชื่อ', 'พุ่มดารา', 'ความทรงจำ', 'นึก', 'กด', 'เงิน', 'ตู้', 'บัวหลวง', 'ไปรษณีย์', 'มอ', '8', 'กพ', 'เวลา', '1532', 'น', 'ขอบ', 'พระคุณ', 'แวะ', 'อ่าน', 'หา']",2,0
"['แนะนำ', 'ร้าน', 'ซ่อม', 'รองเท้า', 'มอ']",2,2
"['ประกาศ', 'คัด', 'กีฬา', 'ประกาศ', '10']",2,2
"['อนุญาต', 'แอดมิน', 'CON', 'หา', 'ศึกษา', 'คณะ', 'สถาปัตยกรรมศาสตร์', 'ชั้น', 'ปี', '24', 'สนใจ', 'ฝึกฝีมือ', 'หา', 'เสริม', '1', 'ตึก', 'อพาร์ตเมนต์', '58', 'ชั้น', 'จิตนาการ', 'โปรแกรม', 'ถนัด', 'ต้องการ', 'รูป', 'Perspective', '23', 'มุม', '2', 'แปลน', 'พื้น', '1', 'ชั้น', 'คร่าว', '3', 'ตอบแทน', '30005000', '฿', '1', 'งาน', 'งาน', 'ดี', 'บริษัท', 'พิจารณา', 'งาน', 'Portfolio', 'ตัวอย่าง', 'งาน', 'TanyaratLertgmailcom']",1,2
"['สมัคร', 'กฎกติกา', 'อ่าน', 'ฟอร์ม', 'ด่าน', 'ล่าง']",2,2
"['สาขา', 'IMI', 'Line', 'group', 'สำหรับ', 'dek', '66']",2,2
"['หา', 'หอคอนโด', 'เช่า', 'ราคา', '40006500']",2,2
"['หาหอพักงบ', '3500', 'ต้น', 'เดือน', 'มกรา']",1,2
"['รับสอน', 'วิชา', 'theory', 'structures', 'ce']",2,2
"['หา', 'เพื่อน']",2,2
"['พี่วิน', 'มอ', 'ขับ', 'รถ', 'ตึงจัง', 'คับ', 'นึก', 'แทรค']",2,2
"['ขาย', 'สัญญา', 'หอ', 'mentor', 'dormitory', 'ห้อง', 'ชั้น', '2', 'เช่า', 'หอ', 'เดือน', '5700', 'บาท', '5200', 'เดือน', 'มิถุนา', 'สัญญา', '10000', 'ตอน', 'ย้าย', 'คืน', 'ระบบ', 'ปลอด', 'ภัย', 'ดี', 'คีย์กร์ด', 'ม', 'จพ', 'เดิน', 'เรียน', 'ล่าง', 'หอ', 'พัก', 'ร้าน', 'อาหาร', 'ร้าน', 'สะดวก', 'ซื้อ', 'เครื่อง', 'ซัก', 'ผ้า', 'อุปกรณ์', 'ตู้', 'เย็น', 'เครื่อง', 'ทำ', 'น้ำ', 'อุ่น', 'แอร์', 'wifi', 'เตียง', 'นอน', '5', 'ฟุต', 'ตู้', 'เสื้อผ้า', 'โต๊ะ', '120', 'cm', 'เก้าอี้', '2', 'ตัว', 'ไฟ', 'หัว', 'เตียง', 'ผ้า', 'ม่าน', 'ราว', 'ตาก', 'ผ้า', 'ย้าย', 'ต้น', 'เดือน', 'มีนาคม', '2566', 'สนใจ', 'ทัก', 'สอบถาม']",1,1
"['เจอ', 'เดิน', 'เรียง', 'หน้า', 'กระดาน', 'ตอน', 'เจอ', 'ตอน', 'อัพเวลซะ', 'เดิน', 'ข้าม', 'ถนน', 'เดิน', 'ข้าม', 'สาม', 'แยก', 'กระชั้นชิด', 'สน', 'รถ', 'ดู', 'รถ', 'ข้าม', 'ข้าม', 'แถม', 'เบรค', 'หัน', 'หน้า', 'ตึง', 'ใส่', 'เบรค', 'ชน', 'ขา', 'หัก', 'แขน', 'หัก', 'อย่า', 'โอดโอย', 'เด้อ', 'วัยรุ่น']",2,2
"['หาหอ', 'พัก', 'คอนโด', 'เรทราคา', '45005500', 'เดือน', 'เฟอร์', 'ปลอด', 'ภัย', 'ดี', 'เดินทาง', 'มอ', 'สะดวก']",1,1
"['น้องๆ', 'CEE', 'ปี', '66', 'รบกวน', 'สาขา', 'ค้าบ', 'ครุศาสตร์', 'โยธา', '66']",2,2
"['งาน', 'กีฬาสีวิทยา', 'จบ', 'หรอ']",2,2
"['เวลา', 'ทำ', 'สอบถาม', 'อาจารย์', 'นิดเดียว', '5', 'วิเสร็จ', 'แน่นอนน']",2,2
"['หา', 'บ้านเช่า', 'มอ', 'เพื่อน', 'ราคา', '1000015000']",2,2
"['สำหรับ', 'คน', 'หา', 'เมทหาหอ', 'เมษา', 'เมทผม', 'ย้าย', 'หา', 'คน', 'หาร', 'หอ', 'ซอย', '13', 'สนใจ', 'ดู', 'รูป', 'คอมเม้น', 'เดี๋ยว', 'ผม', 'ทัก', 'คุย', 'รายละเอียด']",2,2
"['Make', 'friend', 'kan', 'kub']",2,2
"['ประกาศ', 'ชื่อ', 'วง', 'รอบ', 'ชิง', 'ชนะ', 'เลิศ', '16', 'กุมภาพันธ์', '2566', 'เรียง', 'ลำดับ', 'คะแนน', 'ประกาศ', 'คะแนน', 'รวบรวม', 'คณะกรรมการ', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', '—', 'ปลขอ', 'วง', 'เตรียม', 'ตัว', 'เจอ', 'รอบ', 'ชิง', 'ชนะ', 'เลิศ', 'kmutnbmusicaward24', 'musicclub', 'kmutnb']",1,2
"['เรื่อง', 'สูบ', 'บุหรี่', 'มอ', 'สวน', 'ปาล์ม', 'สูบ', 'อ่ะ', 'เวลา', 'สูบ', 'สูบ', 'คน', 'สวน', 'ปาล์ม', 'คน', 'นั่ง', 'อ่าน', 'หนังสือ', 'คน', 'ชอบ', 'กลิ่น', 'บุหรี่', 'สูบ', 'มอมัน', 'สูบ', 'อ่ะ', 'สามัญสำนึก', 'คน', 'ควบคุม', 'ตัว']",2,2
"['ปี', '1', 'หอ', 'หอ', 'ดี', 'รบกวน', 'รี', 'วิว']",2,2
"['ทำ', 'กุญ', 'คอนโดหาย', 'ฟิตเนสใต้', 'สนาม', 'บอล']",2,2
"['สอบถาม', 'กู้กยศ', 'กู้', 'ตอน', 'ปี', '1', 'เทอม', '1', 'เลยม', 'ทำ']",2,2
"['หางานพาร์ทไทม์', 'ระแวก', 'ใกล้เคียง', 'มอ', 'แนะนำ']",2,2
"['เสื้อ', 'ช็อป', 'ใส่', 'กางเกง', 'ขา', 'กระโปรง', 'เอ', 'เรียน', 'ไหม']",2,2
"['รู้', 'ตอน', 'เช้า', 'แถว', 'มอ', 'ขาย', 'น้ำ', 'เต้า', 'หู้']",2,2
"['หา', 'สัญญา', 'หอST', 'Sp', 'S9', 'ราคา', 'แปะ', 'ภาพ', 'หนู', 'หอ', 'คีการ์ด']",2,2
"['หาน้อง', 'ปี', '66', 'ค้าบ']",2,2
"['น้อง', 'มจพ', 'คน', 'พี่', 'โปรฯ', 'ยิม', 'มอ', 'ฝาก', 'สนใจ', 'ทัก', 'เพจ', 'ยิม', 'ผม', 'Mentor', 'Gym', 'ฟิตเนส', 'พระจอมเกล้าพระนครเหนือ', 'ซวงศ์', 'สว่าง', '11', 'โปรโมชั่น', 'ฉลอง', 'เดือน', 'รัก', '1', 'คู่', 'ราคา', 'สมาชิก', 'ยิม', '1', 'เดือน', 'จ่าย', '999', 'ท่าน', 'ปกติ', '1500', '2', 'คน', 'ราคา', 'สมาชิก', 'ยิม', '2', 'เดือน', 'จ่าย', '1999', 'ปกติ', '3000', 'ตก', '33', 'ซื้อ', 'สิทธิ์', 'อายุ', 'เวลา', 'โปรโมชั่น', '114', 'กพ', '23', 'ติดต่อ', 'สอบถาม', 'Tel', '089', '226', '3435', 'Line', 'mentorgym', 'Mentor', 'gym', 'ฟิตเนส', 'พระจอมเกล้าพระนครเหนือ', 'วงศ์สว่าง', '11', 'IG', 'mentorgymwongsawang', '11']",1,1
"['แนะนำ', 'หอ', 'ไหม', 'ห่า', 'มอ', 'โลก', '2', 'โล', 'หน้า', 'มอ', 'มอหลัง', 'มอ', 'ห้อง', '4000']",2,2
"['หิ้ว', 'กระเป๋า', 'สถาปัตย์', 'รัก', 'ฮะ', 'ด้าย', 'ยยยยยย']",2,2
"['หา', 'หอพักใกล้', 'มอ', 'เดิน', 'เรท', '20004000']",2,2
"['หา', 'หอหลัง', 'มอ', 'มอ', 'ราคา', '46']",2,2
"['หาหอ', '35004000']",2,2
"['รู้', 'วิธี', 'ทำ', 'เรื่อง', 'เงิน', 'เทอม', 'คืน', 'ไหม']",2,2
"['หา', 'หอ', 'คอนโด', '5500']",2,2
"['หา', 'หอ', 'พัก', 'มอ', 'ราคา', '5500', 'บาท', 'เดือน', 'เดิน', 'เรียน']",2,2
"['จ้าง', 'ขนข', 'อง', 'หนัก', 'ตู้', 'เย็น', 'ย้าย', 'หอ', 'หอ', 'ห่', '1', 'กม']",1,2
"['เพื่อน', 'น้อง', 'มจพ', 'อนุญาต', 'ประชาสัมพันธ์', 'ชมรมคริสต์เตียน', 'มจพ', 'เชิญชวน', 'คน', 'กิจกรรม', 'พบปะ', 'เพื่อน', 'รัก', 'กิจกรรม', 'คร่าว', 'ร้อง', 'เพลง', 'เล่น', 'ดนตรี', 'แบ่งปัน', 'พูดคุย', 'ทำ', 'รู้จัก', 'เล่น', 'บอร์ด', 'เกม', 'พฤหัสบดี', '1630', 'น', '1900', 'น', 'ห้อง', 'ชมรมคริสต์', 'ตึกโรง', 'อาหาร', '40', 'ชั้น', '6', 'ปล', 'คน', 'คริสเตียน', 'ยินดี', 'ต้อนรับ', 'เพื่อน', 'คน', 'เจอ', 'GOD', 'BLESS', 'YOU', 'ALL']",2,2
